	Assay	Cell Type	Molecule
157	ATAC	Erythroblasts-clusters_13-cluster_1	
158	ATAC	Sperm-clusters_14-cluster_1	
159	ATAC	Sperm-clusters_14-cluster_2	
160	ATAC	Sperm-clusters_14-cluster_3	
161	ATAC	Inhibitory_neurons-clusters_15-cluster_1	
162	ATAC	Inhibitory_neurons-clusters_15-cluster_2	
163	ATAC	SOM+_Interneurons-clusters_15-cluster_3	
164	ATAC	B_cells-clusters_16-cluster_1	
165	ATAC	Macrophages-clusters_16-cluster_2	
166	ATAC	Microglia-clusters_16-cluster_3	
167	ATAC	Dendritic_cells-clusters_17-cluster_1	
168	ATAC	Alveolar_macrophages-clusters_17-cluster_2	
169	ATAC	Dendritic_cells-clusters_17-cluster_3	
170	ATAC	Collisions-clusters_17-cluster_4	
171	ATAC	Collisions-clusters_17-cluster_5	
172	ATAC	DCT_CD-clusters_18-cluster_1	
173	ATAC	Loop_of_henle-clusters_18-cluster_2	
174	ATAC	Loop_of_henle-clusters_18-cluster_3	
175	ATAC	Distal_convoluted_tubule-clusters_18-cluster_4	
176	ATAC	Collecting_duct-clusters_18-cluster_5	
177	ATAC	Astrocytes-clusters_19-cluster_1	
178	ATAC	Astrocytes-clusters_19-cluster_2	
179	ATAC	Astrocytes-clusters_19-cluster_3	
180	ATAC	Astrocytes-clusters_19-cluster_4	
181	ATAC	T_cells-clusters_2-cluster_1	
182	ATAC	Type_I_pneumocytes-clusters_20-cluster_1	
183	ATAC	Oligodendrocytes-clusters_21-cluster_1	
184	ATAC	Oligodendrocytes-clusters_21-cluster_2	
185	ATAC	Endothelial_I_cells-clusters_22-cluster_1	
186	ATAC	Endothelial_I_(glomerular)-clusters_22-cluster_2	
187	ATAC	Endothelial_I_cells-clusters_22-cluster_3	
188	ATAC	Endothelial_I_cells-clusters_22-cluster_4	
189	ATAC	Endothelial_II_cells-clusters_23-cluster_1	
190	ATAC	Unknown-clusters_23-cluster_2	
191	ATAC	Monocytes-clusters_24-cluster_1	
192	ATAC	Monocytes-clusters_24-cluster_2	
193	ATAC	Podocytes-clusters_25-cluster_1	
194	ATAC	Endothelial_II_cells-clusters_25-cluster_2	
195	ATAC	Endothelial_II_cells-clusters_25-cluster_3	
196	ATAC	T_cells-clusters_26-cluster_1	
197	ATAC	Collisions-clusters_26-cluster_2	
198	ATAC	Collisions-clusters_26-cluster_3	
199	ATAC	Purkinje_cells-clusters_27-cluster_1	
200	ATAC	Collisions-clusters_27-cluster_2	
201	ATAC	Collisions-clusters_27-cluster_3	
202	ATAC	Immature_B_cells-clusters_28-cluster_1	
203	ATAC	Immature_B_cells-clusters_28-cluster_2	
204	ATAC	Ex_neurons_SCPN-clusters_29-cluster_1	
205	ATAC	Hepatocytes-clusters_3-cluster_1	
206	ATAC	Type_II_pneumocytes-clusters_30-cluster_1	
207	ATAC	Unknown-clusters_30-cluster_2	
208	ATAC	Collisions-clusters_30-cluster_3	
209	ATAC	Unknown-clusters_30-cluster_4	
210	ATAC	B_cells-clusters_4-cluster_1	
211	ATAC	B_cells-clusters_4-cluster_2	
212	ATAC	B_cells-clusters_4-cluster_3	
213	ATAC	Activated_B_cells-clusters_4-cluster_4	
214	ATAC	Ex_neurons_CPN-clusters_5-cluster_1	
215	ATAC	Ex_neurons_SCPN-clusters_5-cluster_2	
216	ATAC	Ex_neurons_CThPN-clusters_5-cluster_3	
